Cust_ID,Gender_F_Flag,Gender_M_Flag,Residence_distance_from_store,time_in_store,accompanying_people,family_size,total_purchase_amount
168,1,0,4,52,2,5,1089
169,1,0,2,50,1,4,821
170,1,0,2,52,5,3,1914
171,1,0,2,50,1,6,914
172,1,0,5,54,5,3,1793
173,0,1,4,37,3,3,1041
174,0,1,8,39,4,4,1768
175,1,0,5,53,4,2,2016
176,1,0,3,52,3,3,1723
177,1,0,3,53,6,5,1494
178,1,0,4,52,2,5,1105
179,1,0,4,55,8,4,2606
180,1,0,6,54,5,2,2245
181,0,1,2,36,2,5,1032
182,1,0,5,53,3,4,1584
183,0,1,4,37,2,3,1276
184,0,1,1,36,3,3,1218
185,1,0,5,52,2,4,1110
186,1,0,5,53,4,3,1445
187,1,0,5,53,4,4,1983
188,1,0,6,52,1,3,1499
189,1,0,4,52,2,4,1155
190,1,0,3,51,1,5,892
191,0,1,5,38,3,3,1953
192,0,1,5,38,3,3,1383
193,1,0,7,55,6,5,2107
194,1,0,5,52,2,4,1864
195,1,0,7,53,2,5,1464
196,1,0,3,53,6,4,1335
197,0,1,7,39,4,5,1427
198,0,1,3,36,1,3,767
199,0,1,1,36,4,4,1496
200,1,0,9,53,2,4,2049
201,1,0,2,52,5,4,1348
202,1,0,3,52,4,5,1135
203,0,1,3,35,0,6,746
204,1,0,8,55,6,2,2693
205,1,0,5,52,2,4,1648
206,1,0,6,52,2,2,1505
207,1,0,6,53,3,4,1725
208,1,0,5,53,3,3,1477
209,0,1,7,39,4,5,2121
210,1,0,7,53,3,4,1825
211,1,0,4,53,5,5,1528
212,1,0,5,53,3,2,1422
213,0,1,4,38,5,5,1664
214,1,0,9,54,4,5,1858
215,1,0,8,52,1,4,1134
216,1,0,3,51,2,3,1203
217,1,0,0,49,2,4,1286
218,1,0,2,50,1,4,940
219,1,0,3,52,4,3,1689
220,1,0,5,53,4,4,2251
221,0,1,4,37,3,3,1718
222,1,0,2,50,1,4,823
223,1,0,4,51,1,4,1260
224,1,0,7,53,2,4,1027
225,1,0,6,53,3,4,1434
226,0,1,2,37,4,3,1400
227,1,0,4,52,3,5,1626
228,1,0,5,52,2,3,1692
229,0,1,7,38,3,5,1606
230,1,0,7,55,8,4,3211
231,1,0,4,53,4,3,1435
232,1,0,3,52,4,5,1418
233,0,1,6,38,3,6,1008
234,1,0,1,50,2,4,1025
235,1,0,1,50,1,4,767
236,1,0,4,51,1,4,1098
237,1,0,2,50,1,3,673
238,0,1,3,36,1,4,606
239,1,0,2,52,5,4,1981
240,1,0,4,52,3,4,1387
241,0,1,9,40,6,4,2973
242,1,0,2,52,4,5,1418
243,1,0,8,53,3,5,1787
244,1,0,8,53,2,3,2041
245,1,0,8,53,2,5,1743
246,1,0,5,53,3,3,1697
247,0,1,4,36,1,4,916
248,0,1,5,36,1,5,1024
249,1,0,4,51,1,5,1444
250,1,0,4,52,3,6,1354
251,0,1,6,38,3,3,1643
252,1,0,9,52,1,3,1393
253,0,1,6,38,4,4,1769
254,1,0,3,52,3,2,1528
255,1,0,4,51,1,3,1177
256,1,0,3,53,5,3,1645
257,1,0,6,53,4,4,1573
258,0,1,7,36,0,4,923
259,1,0,7,53,3,5,1844
260,0,1,5,37,2,1,1031
261,1,0,4,53,5,5,2452
262,1,0,3,51,2,4,1250
263,0,1,7,38,2,4,1773
264,1,0,6,53,3,4,1083
265,0,1,9,38,2,5,1361
266,0,1,12,40,4,3,2449
267,1,0,9,53,2,4,1879
268,0,1,2,37,5,3,1312
269,1,0,6,52,1,4,1239
270,1,0,3,51,1,3,828
271,0,1,6,39,5,3,2111
272,1,0,1,50,1,4,542
273,0,1,6,37,1,4,1106
274,0,1,4,39,7,3,2013
275,1,0,5,53,4,5,1853
276,0,1,8,37,1,5,1374
277,1,0,6,52,2,4,1768
278,1,0,6,55,8,3,2112
279,1,0,8,53,2,3,1723
280,1,0,4,51,1,6,1268
281,1,0,3,50,0,5,984
282,1,0,1,51,3,4,1330
283,1,0,4,53,5,5,2003
284,1,0,4,53,4,4,1880
285,1,0,7,51,0,6,979
286,1,0,6,53,4,5,1523
287,0,1,6,37,2,5,1199
288,1,0,3,52,4,5,1966
289,1,0,6,53,3,2,1353
290,1,0,7,54,4,4,1537
291,1,0,1,50,2,3,775
292,0,1,3,37,4,4,1197
293,1,0,7,54,4,6,1994
294,1,0,3,52,4,5,2003
295,1,0,7,53,2,4,1562
296,0,1,4,37,2,3,1678
297,1,0,5,50,0,4,1208
298,0,1,6,41,9,3,2306
299,1,0,9,56,7,1,2890
300,1,0,5,52,2,5,1558
301,1,0,8,51,0,6,1726
302,1,0,4,50,0,3,1271
303,1,0,3,51,1,4,1246
304,1,0,5,50,0,4,1091
305,0,1,5,37,2,6,1369
306,1,0,4,52,3,4,1551
307,1,0,2,52,4,6,1541
308,1,0,11,53,1,5,1924
309,1,0,6,53,3,4,1694
310,0,1,3,36,1,4,1329
311,1,0,4,54,7,1,1933
312,1,0,5,54,7,3,1871
313,1,0,2,50,1,4,1253
314,0,1,3,36,2,4,1190
315,0,1,8,38,2,2,1623
316,0,1,3,36,2,3,1696
317,0,1,4,37,3,4,1566
318,1,0,2,53,6,5,1708
319,0,1,5,39,5,4,1557
320,1,0,7,52,1,5,1752
321,0,1,8,38,3,4,2097
322,1,0,8,53,2,1,2090
323,1,0,3,52,3,3,1128
324,1,0,3,51,1,3,998
325,1,0,5,50,0,4,861
326,1,0,4,50,0,4,761
327,1,0,6,52,1,3,1625
328,1,0,4,52,2,5,1598
329,1,0,3,50,0,4,1181
330,1,0,7,53,2,4,1674
331,0,1,7,38,3,5,1609
332,1,0,5,50,0,5,1093
333,1,0,4,51,1,3,928
334,1,0,7,53,3,2,2008
335,1,0,2,52,5,5,1838
336,0,1,4,37,3,3,1494
337,1,0,5,54,7,4,2499
338,1,0,4,51,1,3,1469
339,0,1,6,39,6,4,1473
340,1,0,7,52,1,4,1296
341,0,1,6,39,6,5,2319
342,1,0,2,52,5,4,1298
343,0,1,5,37,2,4,1182
344,0,1,4,35,0,3,749
345,1,0,7,53,3,5,1845
346,0,1,8,37,1,4,1879
347,1,0,3,52,3,3,1505
348,0,1,4,37,2,2,1410
349,1,0,5,54,5,4,2098
350,1,0,4,53,4,4,2132
351,1,0,6,53,4,4,1941
352,1,0,1,50,2,4,1250
353,0,1,7,39,4,5,1859
354,1,0,9,52,1,4,1490
355,1,0,5,53,3,4,1571
356,0,1,2,35,1,2,418
357,0,1,4,37,2,3,1241
358,1,0,2,50,1,3,590
359,1,0,6,53,4,3,1706
360,1,0,3,52,3,3,1677
361,1,0,3,53,6,6,1556
362,1,0,9,54,4,4,2356
363,1,0,5,53,4,2,1782
364,0,1,9,39,3,4,2034
365,1,0,5,52,2,5,1693
366,1,0,6,51,0,6,949
367,0,1,3,36,2,3,882
368,1,0,10,55,6,6,2288
369,1,0,6,53,3,4,1299
370,1,0,3,53,5,3,2003
371,1,0,6,52,2,4,1904
372,1,0,6,54,6,4,2204
373,1,0,4,53,5,2,1440
374,1,0,5,54,5,4,2201
375,1,0,6,52,1,5,861
376,1,0,1,50,2,5,948
377,1,0,4,54,6,3,1932
378,1,0,4,52,3,5,1454
379,1,0,3,52,4,5,1262
380,0,1,9,37,1,4,1533
381,0,1,2,37,4,6,1258
382,1,0,4,52,3,3,1574
383,1,0,7,52,1,3,1428
384,1,0,3,53,5,4,1558
385,1,0,5,53,3,4,2079
386,1,0,2,52,4,6,1273
387,0,1,6,39,5,5,1655
388,0,1,4,35,0,4,385
389,0,1,4,38,4,6,1135
390,1,0,4,54,6,3,1810
391,1,0,11,54,2,3,2045
392,1,0,5,53,4,3,1346
393,1,0,6,52,2,3,1754
394,1,0,5,52,2,4,1276
395,1,0,3,51,2,5,1522
396,1,0,7,53,3,4,2526
397,0,1,4,36,1,5,794
398,1,0,7,54,4,5,1821
399,1,0,8,54,4,3,2205
400,0,1,11,40,4,3,2136
401,1,0,3,52,3,4,1134
402,1,0,7,54,4,2,2312
403,1,0,7,53,2,3,1750
404,1,0,3,52,3,3,1607
405,1,0,7,54,5,5,2154
406,1,0,4,52,2,2,1695
407,1,0,7,53,3,4,1835
408,1,0,5,52,2,5,881
409,1,0,7,54,4,4,1926
410,1,0,4,51,1,5,1279
411,1,0,5,53,3,5,1426
412,0,1,3,37,4,3,1329
413,1,0,8,52,1,4,1833
414,1,0,6,53,3,5,1688
415,1,0,3,52,3,4,1204
416,1,0,6,52,2,5,1454
417,1,0,3,52,4,3,1312
418,0,1,2,37,5,3,1291
419,1,0,2,51,2,3,1519
420,1,0,5,52,2,3,1102
421,1,0,6,54,6,5,2139
422,0,1,4,38,4,3,1588
423,0,1,8,39,4,4,2275
424,1,0,7,51,0,4,838
425,0,1,6,37,2,4,1223
426,1,0,2,52,4,3,2137
427,0,1,6,39,5,4,1743
428,1,0,3,51,1,3,1213
429,1,0,8,53,2,5,2146
430,1,0,5,54,7,5,1939
431,1,0,6,53,3,3,2074
432,1,0,4,53,5,3,2097
433,1,0,7,52,1,5,1224
434,0,1,5,37,2,3,1086
435,1,0,6,52,2,4,1751
436,0,1,7,38,3,3,1547
437,1,0,3,50,0,4,832
438,0,1,4,36,1,4,965
439,1,0,5,52,2,4,1626
440,1,0,4,52,2,4,1566
441,0,1,5,39,6,4,1842
442,1,0,7,52,1,5,1252
443,1,0,3,51,1,5,1118
444,0,1,3,37,3,5,977
445,1,0,7,52,1,3,1510
446,1,0,11,54,2,6,1729
447,1,0,6,54,5,4,2099
448,1,0,7,54,4,4,2127
449,0,1,2,38,7,4,1501
450,1,0,10,55,6,4,2576
451,1,0,4,52,3,5,1451
452,0,1,6,37,1,3,1030
453,1,0,4,52,2,4,1795
454,0,1,5,37,2,4,1289
455,1,0,8,54,4,5,2960
456,0,1,2,36,2,4,601
457,1,0,2,50,1,5,1287
458,1,0,5,54,5,4,1623
459,1,0,2,51,2,3,811
460,1,0,5,52,2,5,1388
461,1,0,5,53,3,3,1611
462,1,0,4,52,3,4,2002
463,0,1,5,39,5,4,1621
464,0,1,5,39,5,4,1903
465,0,1,8,38,2,4,1219
466,1,0,3,52,3,2,1636
467,1,0,2,52,4,4,1293
468,1,0,7,53,3,6,1975
469,1,0,5,53,4,2,2341
470,0,1,7,39,4,4,1970
471,0,1,11,38,1,6,1703
472,0,1,1,35,1,5,921
473,1,0,6,52,1,4,1241
474,1,0,7,55,7,5,2434
475,1,0,6,54,5,5,2276
476,0,1,3,37,3,5,1217
477,1,0,8,53,2,5,1815
478,1,0,5,52,2,3,1471
479,1,0,7,53,3,3,2107
480,0,1,6,37,2,4,1670
481,0,1,5,38,3,5,2054
482,1,0,9,54,4,3,2592
483,1,0,4,54,6,3,2047
484,0,1,8,39,4,5,1916
485,1,0,6,51,0,4,1266
486,1,0,5,53,3,5,1633
487,1,0,4,52,3,4,1724
488,1,0,8,53,2,4,1433
489,1,0,6,52,2,5,1299
490,1,0,6,51,0,4,1246
491,1,0,5,53,4,4,1892
492,1,0,1,50,1,4,1249
493,0,1,2,36,2,3,1099
494,1,0,5,53,4,4,1788
495,1,0,4,53,5,4,2168
496,0,1,1,37,5,4,1413
497,1,0,7,53,3,4,1324
498,1,0,6,52,1,4,1647
499,0,1,6,38,4,4,1528
500,0,1,4,36,1,6,1177
501,0,1,3,38,5,5,1691
502,1,0,6,52,1,7,1760
503,1,0,9,53,2,5,2361
504,1,0,7,53,3,5,1948
505,1,0,6,54,6,4,2638
506,0,1,8,39,4,2,1315
507,1,0,7,53,3,4,1711
508,0,1,3,39,7,4,1614
509,1,0,3,52,3,6,1502
510,1,0,4,52,3,5,1233
511,1,0,4,53,5,5,1458
512,1,0,8,52,1,5,1807
513,1,0,3,54,7,4,2236
514,1,0,10,54,3,4,2232
515,1,0,7,54,5,4,2462
516,1,0,6,52,1,6,1268
517,1,0,9,54,3,3,1992
518,1,0,4,53,4,5,1949
519,1,0,5,53,4,5,1551
520,1,0,5,53,3,6,1768
521,1,0,4,52,2,3,1373
522,1,0,5,52,2,5,1815
523,1,0,8,54,4,5,2348
524,1,0,5,53,4,5,1621
525,1,0,2,51,2,4,1402
526,1,0,9,54,3,4,2286
527,1,0,9,52,1,6,1947
528,1,0,8,53,2,4,2094
529,1,0,6,54,5,4,1744
530,1,0,5,53,4,5,1492
531,1,0,1,50,1,4,675
532,1,0,3,51,2,4,908
533,0,1,5,36,1,4,676
534,1,0,6,53,3,6,1564
535,1,0,5,52,2,3,1649
536,1,0,10,53,1,4,2406
537,1,0,7,53,2,2,1699
538,1,0,3,52,3,3,2033
539,0,1,10,37,0,3,1430
540,1,0,2,52,4,3,1360
541,1,0,8,53,3,6,2168
542,1,0,7,53,2,6,1832
543,0,1,10,39,3,5,1533
544,1,0,3,51,2,5,1040
545,0,1,3,36,2,4,1211
546,1,0,4,55,9,5,2421
547,0,1,1,36,3,4,1356
548,0,1,3,37,3,3,1742
549,1,0,3,52,4,4,1684
550,1,0,7,53,3,5,1432
551,1,0,6,53,4,3,2111
552,0,1,8,39,4,4,1678
553,1,0,4,52,3,4,1516
554,1,0,6,53,3,3,1489
555,1,0,3,53,6,4,1974
556,1,0,6,53,4,3,1886
557,0,1,8,41,9,5,3054
558,1,0,4,54,6,4,1958
559,1,0,4,52,2,4,1500
560,0,1,4,39,6,3,1942
561,0,1,8,38,3,2,1757
562,1,0,8,54,5,4,2281
563,1,0,3,53,5,5,1980
564,1,0,3,52,3,2,1800
565,1,0,3,52,3,2,1202
566,0,1,0,35,4,4,1082
567,1,0,9,54,3,4,2267
568,0,1,6,38,4,3,1889
569,1,0,4,54,6,3,1254
570,1,0,5,54,5,2,2007
571,1,0,3,52,3,4,1543
572,0,1,7,38,3,5,1431
573,1,0,6,53,4,4,2149
574,1,0,0,50,4,4,1268
575,1,0,5,53,4,5,1724
576,1,0,4,51,1,3,1182
577,1,0,5,51,1,3,1490
578,0,1,4,39,6,4,1589
579,1,0,7,54,4,4,1939
580,1,0,5,51,1,3,1117
581,0,1,5,36,1,5,1252
582,0,1,3,37,3,3,786
583,0,1,5,38,3,4,1251
584,1,0,7,54,4,2,1886
585,1,0,5,52,2,5,1550
586,0,1,5,36,1,4,1463
587,1,0,3,53,5,4,1664
588,1,0,4,52,2,4,1790
589,0,1,1,35,2,6,836
590,1,0,6,53,4,5,1728
591,1,0,3,52,4,2,1231
592,1,0,5,52,2,4,1558
593,1,0,6,53,3,4,1601
594,1,0,5,53,3,4,1956
595,1,0,4,51,1,4,1037
596,1,0,3,53,5,2,1685
597,1,0,6,52,1,4,1743
598,0,1,3,37,4,5,1560
599,0,1,7,39,4,3,2367
600,1,0,5,53,3,2,1761
601,1,0,3,53,5,4,1653
602,1,0,5,52,2,3,722
603,0,1,7,38,2,5,1327
604,1,0,5,53,3,5,2306
605,1,0,8,54,5,5,2618
606,1,0,4,52,2,2,1063
607,1,0,5,53,3,4,1685
608,0,1,3,36,1,6,1030
609,1,0,6,52,2,4,1422
610,1,0,2,51,2,4,1150
611,0,1,6,37,2,2,1532
612,0,1,6,37,2,4,1588
613,1,0,6,52,1,4,1307
614,0,1,7,39,5,5,1685
615,1,0,7,53,2,6,1681
616,1,0,11,54,3,3,2499
617,0,1,8,38,2,5,1597
618,1,0,6,53,3,4,1799
619,1,0,6,52,2,3,1706
620,0,1,2,38,6,3,2198
621,1,0,1,51,4,4,1154
622,1,0,1,53,7,4,1890
623,0,1,2,36,3,3,1018
624,0,1,5,35,0,3,675
625,1,0,10,54,4,3,2457
626,1,0,6,52,2,3,1753
627,1,0,3,52,4,5,1688
628,0,1,4,39,7,3,2349
629,0,1,3,36,2,5,1025
630,1,0,6,53,3,5,1749
631,1,0,4,53,5,4,2112
632,0,1,4,37,3,4,1193
633,1,0,7,54,4,5,2173
634,0,1,4,39,6,5,1534
635,0,1,4,37,2,6,1024
636,1,0,2,51,2,4,1050
637,0,1,3,36,2,5,1314
638,1,0,9,53,2,1,1889
639,1,0,6,52,2,4,1760
640,0,1,4,37,3,4,1247
641,0,1,5,37,2,3,1255
642,0,1,2,36,3,3,1654
643,1,0,2,51,2,3,884
644,0,1,5,36,1,3,1157
645,1,0,3,52,3,3,1216
646,1,0,2,51,3,6,959
647,1,0,4,52,2,4,1542
648,1,0,5,53,3,3,1915
649,1,0,5,53,4,2,1841
650,1,0,1,51,3,4,1417
651,1,0,2,50,1,5,994
652,1,0,5,53,4,3,1572
653,1,0,4,52,3,4,1794
654,1,0,7,54,4,4,1740
655,1,0,4,53,4,4,1608
656,0,1,8,38,2,2,1267
657,1,0,4,54,7,4,1791
658,0,1,4,36,1,4,1203
659,1,0,5,50,0,4,1315
660,1,0,4,52,3,5,1845
661,0,1,4,37,3,3,1275
662,0,1,6,38,4,4,1979
663,1,0,7,53,3,4,2127
664,0,1,5,39,5,4,1717
665,0,1,3,37,3,4,1118
666,1,0,6,54,5,3,2332
667,1,0,2,50,1,3,811
668,1,0,6,54,5,6,2258
669,1,0,5,53,4,4,1916
670,1,0,5,53,4,3,1578
671,0,1,3,37,3,2,1627
672,1,0,4,52,2,4,1739
673,1,0,1,53,7,4,1784
674,1,0,5,53,3,3,1399
675,1,0,8,52,1,5,1605
676,0,1,8,40,7,2,2399
677,1,0,6,53,4,2,1764
678,0,1,3,37,4,5,985
679,1,0,2,52,4,3,1639
680,0,1,6,37,2,2,1265
681,1,0,4,53,5,5,1967
682,0,1,9,39,3,6,2080
683,1,0,6,54,5,6,2304
684,0,1,5,38,4,5,1524
685,1,0,10,54,4,4,2234
686,1,0,5,52,2,5,1149
687,1,0,5,51,1,4,1136
688,0,1,9,38,2,4,1551
689,1,0,5,53,3,5,1660
690,1,0,5,53,3,3,1434
691,1,0,7,52,1,6,1385
692,1,0,4,53,4,5,2295
693,1,0,1,50,2,6,854
694,0,1,5,36,1,3,722
695,1,0,5,54,6,3,1876
696,0,1,9,39,3,4,2184
697,1,0,4,52,3,3,1133
698,1,0,5,53,4,3,1472
699,1,0,5,54,5,4,1477
700,0,1,8,40,6,4,2072
701,1,0,9,54,3,5,2030
702,1,0,2,52,4,5,1973
703,0,1,2,37,4,3,1534
704,1,0,5,53,3,5,1582
705,1,0,4,53,5,5,1893
706,1,0,5,54,5,5,1943
707,0,1,8,39,4,3,2057
708,1,0,5,53,3,5,1286
709,1,0,6,51,0,4,1109
710,0,1,6,38,4,2,1765
711,0,1,3,36,2,3,740
712,0,1,8,38,2,4,1697
713,1,0,6,53,4,4,1817
714,1,0,1,51,4,6,1645
715,1,0,4,50,0,2,926
716,0,1,0,36,6,5,1276
717,0,1,4,37,3,5,1329
718,0,1,6,38,4,4,2091
719,1,0,5,50,0,4,1145
720,1,0,6,53,4,3,2222
721,0,1,6,39,6,4,1986
722,1,0,7,53,3,4,1917
723,0,1,5,38,3,3,1446
724,1,0,7,53,2,4,1166
725,1,0,3,52,3,3,1542
726,1,0,4,53,4,4,1955
727,0,1,4,37,3,4,1573
728,1,0,4,51,1,5,826
729,1,0,5,53,3,4,1488
730,0,1,5,39,5,4,1790
731,1,0,4,53,5,2,1991
732,0,1,3,37,3,2,1355
733,1,0,6,51,0,3,1240
734,1,0,9,55,5,5,1956
735,1,0,3,52,3,5,1866
736,0,1,6,39,5,4,1841
737,0,1,3,37,3,5,1081
738,0,1,7,40,6,3,1977
739,1,0,3,52,3,5,1149
740,1,0,2,51,3,2,1321
741,1,0,4,53,5,4,1503
742,1,0,6,52,2,3,1676
743,0,1,10,38,2,3,1440
744,1,0,8,54,4,5,1708
745,1,0,6,52,2,5,1510
746,1,0,9,55,6,3,2274
747,1,0,8,56,9,4,2895
748,1,0,6,52,1,4,1112
749,0,1,6,38,4,4,1254
750,1,0,1,50,1,4,979
751,1,0,3,51,2,4,1292
752,1,0,4,54,6,4,1597
753,0,1,5,38,4,3,1269
754,1,0,6,52,2,5,1402
755,1,0,5,54,5,5,2085
756,1,0,9,53,2,4,2277
757,1,0,3,54,7,4,1827
758,0,1,6,40,8,3,2321
759,1,0,1,50,1,4,854
760,1,0,10,54,3,2,2481
761,0,1,3,36,1,2,707
762,1,0,7,52,1,5,1683
763,0,1,2,35,1,4,1020
764,0,1,7,36,0,3,909
765,1,0,7,51,0,5,1377
766,1,0,4,51,1,4,908
767,0,1,7,38,2,3,1635
768,1,0,6,52,1,3,1288
769,1,0,10,55,5,3,2545
770,1,0,6,52,2,4,1704
771,1,0,4,52,3,4,1408
772,1,0,4,53,5,5,1768
773,1,0,8,55,6,4,2361
774,1,0,3,51,2,4,1369
775,1,0,7,54,4,4,2265
776,1,0,4,51,1,3,1183
777,1,0,8,53,3,5,1875
778,1,0,8,52,1,3,1891
779,1,0,7,55,7,5,2548
780,0,1,6,37,2,5,1953
781,1,0,8,52,1,5,1858
782,1,0,6,52,1,4,1410
783,1,0,6,54,5,4,2121
784,1,0,5,50,0,5,1037
785,1,0,2,51,3,4,1565
786,1,0,2,52,4,3,1275
787,0,1,2,38,6,4,1787
788,0,1,3,36,2,3,1404
789,1,0,4,52,2,2,1445
790,1,0,9,52,1,4,1711
791,1,0,6,53,3,6,1779
792,1,0,8,51,0,4,1209
793,0,1,4,39,6,4,2215
794,0,1,4,38,4,4,1380
795,0,1,4,37,3,5,1488
796,1,0,4,51,1,5,1600
797,0,1,6,39,5,4,1407
798,1,0,7,53,2,3,1444
799,1,0,3,51,2,4,912
800,1,0,10,55,6,4,3008
801,1,0,7,54,4,4,1839
802,1,0,8,53,2,2,2143
803,1,0,3,51,2,4,980
804,1,0,4,52,3,3,1462
805,1,0,6,53,3,4,1721
806,1,0,8,53,3,4,1826
807,1,0,2,51,3,3,1246
808,1,0,7,54,4,4,1850
809,1,0,4,53,4,4,1466
810,0,1,7,39,4,4,2081
811,1,0,4,52,3,5,1801
812,0,1,10,38,2,6,1686
813,1,0,10,53,2,3,2513
814,0,1,4,38,4,4,1388
815,1,0,4,53,4,4,1841
816,1,0,3,52,3,5,1842
817,1,0,4,53,4,4,1356
818,1,0,2,51,3,5,1416
819,1,0,6,52,1,4,1450
820,1,0,6,52,2,5,1281
